page_number_text,page_number,description,bridge,latitude,longitude,status,the_geom,cartodb_id,created_at,updated_at
Page 14 Top,14,Union,Union,40.443668,-80.013216,Demolished,0101000020E61000002CF2EB87D80054C01024EF1CCA384440,1,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 15 Top,15,First Point,First Point,40.440397,-80.013569,Demolished,0101000020E610000053CF8250DE0054C0D520CCED5E384440,2,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 16 Top,16,Manchester Const,Manchester,40.443853,-80.012428,Demolished,0101000020E61000008063CF9ECB0054C0A19DD32CD0384440,3,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 18 Top,18,Second Point,Second Point,40.440254,-80.013322,Demolished,0101000020E61000004F948444DA0054C073F7393E5A384440,4,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 20 Bottom,20,Portal,Portal,40.441506,-80.008975,Existing,0101000020E6100000D3DEE00B930054C06F7EC34483384440,5,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 85 Top,85,Aiken,Aiken,40.453866,-79.93738,Existing,0101000020E61000002BFBAE08FEFB53C01762F547183A4440,60,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 21 Top,21,Ft Pitt,Ft Pitt,40.438944,-80.01115,Existing,0101000020E61000006D567DAEB60054C0416326512F384440,6,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 23 Top,23,Ft Duquesne,Ft Duquesne,40.444294,-80.009307,Existing,0101000020E6100000EE27637C980054C08EE733A0DE384440,7,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 24 Top,24,Tripartite,Point Concept,40.441897,-80.013272,Concept,0101000020E6100000F67CCD72D90054C0AA99B51490384440,8,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 26 Top,26,Second Sixth,Sixth,40.4456,-80.00336,Existing,0101000020E61000005587DC0C370054C07E8CB96B09394440,9,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 28 Top,28,First Seventh,Seventh,40.446,-80.00141,Existing,0101000020E6100000CBF8F719170054C00C022B8716394440,10,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 29 Top,29,Second Ninth,Ninth,40.4466,-79.99978,Existing,0101000020E610000079CC4065FCFF53C0613255302A394440,11,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 34 Top,34,Second Ft Wayne,Ft Wayne,40.44807,-79.996081,Existing,0101000020E6100000B0CA85CABFFF53C0CC28965B5A394440,12,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 36 Top,36,Canal Aqueduct,Canal Aqueduct,40.448578,-79.995335,Demolished,0101000020E61000001B649291B3FF53C040DAFF006B394440,13,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 37 Top,37,Veterans Memorial,Veterans Memorial,40.449806,-79.993294,Existing,0101000020E61000000954FF2092FF53C0B5C5353E93394440,14,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 37 Bottom,37,Sixteenth St Covered,Sixteenth St,40.4515,-79.99067,Existing,0101000020E610000036C8242367FF53C06F1283C0CA394440,15,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 39 Top,39,West Penn,West Penn,40.460266,-79.981692,Existing,0101000020E6100000ABAFAE0AD4FE53C0F9BA0CFFE93A4440,16,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 39 Bottom,39,Back Channel,Back Channel,40.463968,-79.979174,Existing,0101000020E6100000FCC56CC9AAFE53C0FD31AD4D633B4440,17,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 40 Bottom,40,30th St Main Channel,30th St Main Channel,40.46216,-79.976595,Demolished,0101000020E6100000FA9B508880FE53C07AC2120F283B4440,18,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 41 Top,41,31st,31st,40.463013,-79.975943,Existing,0101000020E6100000A6F0A0D975FE53C0B94F8E02443B4440,19,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
Page 42 Top,42,RR Back Channel,RR Back Channel,40.468389,-79.975644,Existing,0101000020E6100000792288F370FE53C03067B62BF43B4440,20,2015-05-10 19:13:10.724785+00,2015-05-10 19:13:10.724785+00
