Latitude,Longitude,"(lat,lon)"
40.38289,-79.93296,"(40.382894,-79.932955)"
40.41519,-79.91572,"(40.415188,-79.915719)"
40.4673,-79.90897,"(40.467302,-79.908965)"
40.45598,-79.97336,"(40.455982,-79.973358)"
40.4265,-79.95035,"(40.426503,-79.95035)"
40.4236,-79.97679,"(40.4236,-79.976787)"
40.41038,-80.00628,"(40.410376,-80.006282)"
40.39451,-79.9976,"(40.394508,-79.997598)"
40.4657,-79.98118,"(40.465704,-79.981175)"
40.47115,-80.00791,"(40.471147,-80.00791)"
40.47673,-80.00762,"(40.476733,-80.007624)"
40.4512,-80.0103,"(40.451199,-80.0103)"
40.43269,-80.02987,"(40.432687,-80.029865)"
40.46492,-80.05352,"(40.464924,-80.053522)"
40.45625,-79.93347,"(40.456248,-79.933466)"
40.4285,-79.93786,"(40.428495,-79.937864)"
40.46419,-79.97966,"(40.464185,-79.97966)"
40.47235,-80.00497,"(40.472351,-80.004974)"
40.45162,-80.01067,"(40.451619,-80.01067)"
40.45391,-80.01465,"(40.453907,-80.014653)"
40.46462,-79.91895,"(40.46462,-79.918949)"
40.4395,-79.90034,"(40.439504,-79.900339)"
40.45459,-79.94297,"(40.454593,-79.94297)"
40.43442,-79.95013,"(40.434416,-79.950134)"
40.43378,-80.031,"(40.43378,-80.030998)"
40.4274,-80.06376,"(40.427402,-80.06376)"
40.42803,-80.06438,"(40.428026,-80.06438)"
40.46108,-80.05445,"(40.461075,-80.054452)"
40.37996,-79.93469,"(40.379957,-79.934686)"
40.38356,-79.93286,"(40.383558,-79.932864)"
40.40694,-79.94417,"(40.406935,-79.944165)"
40.46772,-79.9076,"(40.467719,-79.907602)"
40.45698,-79.94748,"(40.456981,-79.947481)"
40.42698,-79.92688,"(40.426982,-79.926884)"
40.48113,-79.91736,"(40.48113,-79.917362)"
40.42567,-79.98559,"(40.42567,-79.985588)"
40.42323,-79.97432,"(40.423228,-79.974319)"
40.4097,-79.96364,"(40.409702,-79.963639)"
40.41234,-79.96845,"(40.412341,-79.968446)"
40.40615,-80.00388,"(40.406147,-80.003876)"
40.37892,-79.99374,"(40.378921,-79.993742)"
40.37676,-79.99454,"(40.376763,-79.994544)"
40.46398,-79.97908,"(40.463981,-79.979083)"
40.4565,-79.99813,"(40.456501,-79.998132)"
40.48579,-80.04541,"(40.485794,-80.045411)"
40.45854,-80.02373,"(40.458542,-80.023734)"
40.43504,-79.98282,"(40.43504,-79.982819)"
40.43135,-79.95902,"(40.431352,-79.959023)"
40.42602,-79.95363,"(40.426015,-79.953628)"
40.42612,-79.95344,"(40.426115,-79.953443)"
40.42491,-79.95274,"(40.424906,-79.952735)"
40.42702,-79.96272,"(40.427015,-79.962723)"
40.42854,-79.96025,"(40.428535,-79.960249)"
40.42868,-79.96527,"(40.42868,-79.965269)"
40.42782,-79.96397,"(40.42782,-79.963969)"
40.43621,-80.00031,"(40.436207,-80.000306)"
40.41118,-80.02223,"(40.411177,-80.022232)"
40.45624,-79.99129,"(40.456243,-79.99129)"
40.48309,-80.00773,"(40.483086,-80.007732)"
40.40716,-80.03434,"(40.407156,-80.034335)"
40.42718,-80.06201,"(40.427178,-80.062007)"
40.42672,-80.05987,"(40.426717,-80.059866)"
40.42663,-80.05714,"(40.426626,-80.05714)"
40.45291,-80.05453,"(40.452909,-80.054534)"
40.45248,-80.04012,"(40.452476,-80.04012)"
40.46264,-79.90553,"(40.462636,-79.90553)"
40.46699,-79.91603,"(40.466991,-79.916026)"
40.46476,-79.91886,"(40.464763,-79.918858)"
40.45902,-79.92511,"(40.459024,-79.925107)"
40.45388,-79.93736,"(40.45388,-79.937362)"
40.46032,-79.96645,"(40.460322,-79.966445)"
40.43714,-79.94677,"(40.437144,-79.946769)"
40.44132,-79.94915,"(40.441316,-79.949154)"
40.48314,-79.91988,"(40.483135,-79.919878)"
40.43731,-80.00271,"(40.43731,-80.002714)"
40.43054,-80.002,"(40.430536,-80.001998)"
40.43039,-80.00241,"(40.430386,-80.002408)"
40.43548,-80.01232,"(40.435476,-80.012315)"
40.42781,-79.99282,"(40.427812,-79.99282)"
40.42903,-79.99742,"(40.42903,-79.997424)"
40.41704,-80.01499,"(40.417036,-80.014993)"
40.40202,-80.00109,"(40.402017,-80.001087)"
40.45462,-79.99431,"(40.454615,-79.994309)"
40.4571,-79.99834,"(40.457095,-79.998341)"
40.47602,-80.03266,"(40.476024,-80.03266)"
40.47162,-80.03689,"(40.471616,-80.036894)"
40.48134,-80.0425,"(40.481342,-80.042503)"
40.45562,-80.01797,"(40.455622,-80.017973)"
40.44311,-80.03076,"(40.44311,-80.030757)"
40.44508,-80.01472,"(40.44508,-80.01472)"
40.43793,-80.00488,"(40.437932,-80.004882)"
40.45997,-79.921,"(40.459967,-79.920995)"
40.45529,-79.94415,"(40.455287,-79.944153)"
40.4613,-79.95501,"(40.461304,-79.955006)"
40.43531,-79.94663,"(40.435314,-79.946631)"
40.43506,-79.94733,"(40.435057,-79.947334)"
40.44453,-79.94675,"(40.444526,-79.94675)"
40.43847,-80.00585,"(40.43847,-80.005846)"
40.3816,-79.99579,"(40.381602,-79.99579)"
40.43688,-80.0019,"(40.436882,-80.001902)"
40.44346,-80.00605,"(40.443459,-80.006048)"
40.44431,-80.0094,"(40.444308,-80.009402)"
40.45577,-79.96585,"(40.455768,-79.965845)"
40.45036,-80.03612,"(40.450357,-80.036115)"
40.38777,-79.93249,"(40.387768,-79.932493)"
40.47601,-80.04083,"(40.476011,-80.040833)"
40.48175,-80.0258,"(40.481751,-80.025798)"
40.45294,-80.01276,"(40.452941,-80.012758)"
