Latitude,Longitude,"(lat,lon)"
40.428026,-80.06438,"(40.428026,-80.06438)"
40.427402,-80.06376,"(40.427402,-80.06376)"
40.427178,-80.062007,"(40.427178,-80.062007)"
40.426717,-80.059866,"(40.426717,-80.059866)"
40.426626,-80.05714,"(40.426626,-80.05714)"
40.452909,-80.054534,"(40.452909,-80.054534)"
40.461075,-80.054452,"(40.461075,-80.054452)"
40.464924,-80.053522,"(40.464924,-80.053522)"
40.484208,-80.050618,"(40.484208,-80.050618)"
40.47715,-80.0485,"(40.47715,-80.0485)"
40.487977,-80.04578,"(40.487977,-80.04578)"
40.485794,-80.045411,"(40.485794,-80.045411)"
40.479965,-80.044218,"(40.479965,-80.044218)"
40.481342,-80.042503,"(40.481342,-80.042503)"
40.476011,-80.040833,"(40.476011,-80.040833)"
40.452476,-80.04012,"(40.452476,-80.04012)"
40.471581,-80.037585,"(40.471581,-80.037585)"
40.471616,-80.036894,"(40.471616,-80.036894)"
40.450357,-80.036115,"(40.450357,-80.036115)"
40.407156,-80.034335,"(40.407156,-80.034335)"
40.476024,-80.03266,"(40.476024,-80.03266)"
40.461849,-80.031161,"(40.461849,-80.031161)"
40.43378,-80.030998,"(40.43378,-80.030998)"
40.44311,-80.030757,"(40.44311,-80.030757)"
40.432687,-80.029865,"(40.432687,-80.029865)"
40.44645,-80.02689,"(40.44645,-80.02689)"
40.481751,-80.025798,"(40.481751,-80.025798)"
40.458542,-80.023734,"(40.458542,-80.023734)"
40.411177,-80.022232,"(40.411177,-80.022232)"
40.455622,-80.017973,"(40.455622,-80.017973)"
40.417036,-80.014993,"(40.417036,-80.014993)"
40.44508,-80.01472,"(40.44508,-80.01472)"
40.453907,-80.014653,"(40.453907,-80.014653)"
40.452941,-80.012758,"(40.452941,-80.012758)"
40.435476,-80.012315,"(40.435476,-80.012315)"
40.438944,-80.01115,"(40.438944,-80.01115)"
40.451619,-80.01067,"(40.451619,-80.01067)"
40.451199,-80.0103,"(40.451199,-80.0103)"
40.444308,-80.009402,"(40.444308,-80.009402)"
40.441506,-80.008975,"(40.441506,-80.008975)"
40.471147,-80.00791,"(40.471147,-80.00791)"
40.483086,-80.007732,"(40.483086,-80.007732)"
40.476733,-80.007624,"(40.476733,-80.007624)"
40.410376,-80.006282,"(40.410376,-80.006282)"
40.443459,-80.006048,"(40.443459,-80.006048)"
40.43847,-80.005846,"(40.43847,-80.005846)"
40.472351,-80.004974,"(40.472351,-80.004974)"
40.437932,-80.004882,"(40.437932,-80.004882)"
40.406147,-80.003876,"(40.406147,-80.003876)"
40.4456,-80.00336,"(40.4456,-80.00336)"
40.43731,-80.002714,"(40.43731,-80.002714)"
40.430386,-80.002408,"(40.430386,-80.002408)"
40.435,-80.00204,"(40.435,-80.00204)"
40.430536,-80.001998,"(40.430536,-80.001998)"
40.436882,-80.001902,"(40.436882,-80.001902)"
40.446,-80.00141,"(40.446,-80.00141)"
40.402017,-80.001087,"(40.402017,-80.001087)"
40.436207,-80.000306,"(40.436207,-80.000306)"
40.4466,-79.99978,"(40.4466,-79.99978)"
40.457095,-79.998341,"(40.457095,-79.998341)"
40.456501,-79.998132,"(40.456501,-79.998132)"
40.394508,-79.997598,"(40.394508,-79.997598)"
40.42903,-79.997424,"(40.42903,-79.997424)"
40.432878,-79.99673,"(40.432878,-79.99673)"
40.436189,-79.995832,"(40.436189,-79.995832)"
40.381602,-79.99579,"(40.381602,-79.99579)"
40.376763,-79.994544,"(40.376763,-79.994544)"
40.454615,-79.994309,"(40.454615,-79.994309)"
40.378921,-79.993742,"(40.378921,-79.993742)"
40.449806,-79.993294,"(40.449806,-79.993294)"
40.427812,-79.99282,"(40.427812,-79.99282)"
40.456243,-79.99129,"(40.456243,-79.99129)"
40.4515,-79.99067,"(40.4515,-79.99067)"
40.4326,-79.98926,"(40.4326,-79.98926)"
40.42567,-79.985588,"(40.42567,-79.985588)"
40.43504,-79.982819,"(40.43504,-79.982819)"
40.465704,-79.981175,"(40.465704,-79.981175)"
40.464185,-79.97966,"(40.464185,-79.97966)"
40.463981,-79.979083,"(40.463981,-79.979083)"
40.4236,-79.976787,"(40.4236,-79.976787)"
40.463013,-79.975943,"(40.463013,-79.975943)"
40.423228,-79.974319,"(40.423228,-79.974319)"
40.433361,-79.9735,"(40.433361,-79.9735)"
40.455982,-79.973358,"(40.455982,-79.973358)"
40.436914,-79.972516,"(40.436914,-79.972516)"
40.4728,-79.9686,"(40.4728,-79.9686)"
40.412341,-79.968446,"(40.412341,-79.968446)"
40.460322,-79.966445,"(40.460322,-79.966445)"
40.455768,-79.965845,"(40.455768,-79.965845)"
40.435421,-79.965555,"(40.435421,-79.965555)"
40.42868,-79.965269,"(40.42868,-79.965269)"
40.42782,-79.963969,"(40.42782,-79.963969)"
40.409702,-79.963639,"(40.409702,-79.963639)"
40.427015,-79.962723,"(40.427015,-79.962723)"
40.428535,-79.960249,"(40.428535,-79.960249)"
40.431352,-79.959023,"(40.431352,-79.959023)"
40.461304,-79.955006,"(40.461304,-79.955006)"
40.426015,-79.953628,"(40.426015,-79.953628)"
40.426115,-79.953443,"(40.426115,-79.953443)"
40.424906,-79.952735,"(40.424906,-79.952735)"
40.426503,-79.95035,"(40.426503,-79.95035)"
40.434416,-79.950134,"(40.434416,-79.950134)"
40.441316,-79.949154,"(40.441316,-79.949154)"
40.427876,-79.949055,"(40.427876,-79.949055)"
40.456981,-79.947481,"(40.456981,-79.947481)"
40.435057,-79.947334,"(40.435057,-79.947334)"
40.437144,-79.946769,"(40.437144,-79.946769)"
40.444526,-79.94675,"(40.444526,-79.94675)"
40.435314,-79.946631,"(40.435314,-79.946631)"
40.406935,-79.944165,"(40.406935,-79.944165)"
40.455287,-79.944153,"(40.455287,-79.944153)"
40.454593,-79.94297,"(40.454593,-79.94297)"
40.491022,-79.93802,"(40.491022,-79.93802)"
40.428495,-79.937864,"(40.428495,-79.937864)"
40.45388,-79.937362,"(40.45388,-79.937362)"
40.397688,-79.934691,"(40.397688,-79.934691)"
40.379957,-79.934686,"(40.379957,-79.934686)"
40.456248,-79.933466,"(40.456248,-79.933466)"
40.382894,-79.932955,"(40.382894,-79.932955)"
40.383558,-79.932864,"(40.383558,-79.932864)"
40.387768,-79.932493,"(40.387768,-79.932493)"
40.426982,-79.926884,"(40.426982,-79.926884)"
40.459024,-79.925107,"(40.459024,-79.925107)"
40.459967,-79.920995,"(40.459967,-79.920995)"
40.483135,-79.919878,"(40.483135,-79.919878)"
40.487585,-79.919021,"(40.487585,-79.919021)"
40.46462,-79.918949,"(40.46462,-79.918949)"
40.464763,-79.918858,"(40.464763,-79.918858)"
40.410669,-79.918433,"(40.410669,-79.918433)"
40.48113,-79.917362,"(40.48113,-79.917362)"
40.466991,-79.916026,"(40.466991,-79.916026)"
40.415188,-79.915719,"(40.415188,-79.915719)"
40.489064,-79.912169,"(40.489064,-79.912169)"
40.467302,-79.908965,"(40.467302,-79.908965)"
40.467719,-79.907602,"(40.467719,-79.907602)"
40.425566,-79.906165,"(40.425566,-79.906165)"
40.462636,-79.90553,"(40.462636,-79.90553)"
40.439504,-79.900339,"(40.439504,-79.900339)"
